name,rating,total_rank
HDFC Short Term Debt Dir,4,313
Axis Banking & PSU Debt Dir,5,325
Kotak Corporate Bond Dir,5,333
ABSL Corporate Bond Dir,5,337
ABSL Low Duration Dir,5,340
IDFC Bond Short Term Dir,4,350
Kotak Low Duration Dir,4,354
Axis Short Term Dir,5,368
ICICI Pru Savings Dir,4,379
HDFC Low Duration Dir,3,379
ICICI Pru Corporate Bond Dir,4,381
SBI Banking and PSU Dir,3,382
ABSL Savings Dir,5,386
Kotak Bond Short-term Dir,5,388
ABSL Banking & PSU Debt Dir,3,388
Axis Treasury Advantage Dir,5,396
IDFC Corporate Bond Dir,3,401
Kotak Savings Dir,4,401
ICICI Pru Short Term Dir,4,412
ICICI Pru Ultra Short Term Dir,5,413
Invesco India Treasury Advtg Dir,4,421
SBI Magnum Low Duration Dir,4,423
IDFC Low Duration Dir,4,429
L&T Banking & PSU Debt Dir,3,431
DSP Low Duration Dir,3,431
HDFC Banking and PSU Debt Dir,2,432
ABSL Short Term Dir,3,439
Nippon India Banking & PSU Debt Dir,4,441
LIC MF Banking & PSU Debt Dir,5,442
L&T Short Term Bond Dir,4,445
Kotak Banking & PSU Debt Dir,4,446
ABSL Money Manager Dir,4,449
ABSL Liquid Dir,4,454
ICICI Pru Money Market Dir,3,461
HDFC Money Market Dir,4,465
DSP Short-term Dir,3,470
UTI Money Market Dir,3,470
SBI Short Term Debt Dir,4,479
Nippon India Short-term Dir,3,480
Kotak Money Market Dir,3,481
DSP Banking & PSU Debt Dir,3,484
Nippon India Money Market Dir,3,484
Nippon India Liquid Dir,4,491
Axis Corporate Debt Dir,2,493
Nippon India Low Duration Dir,3,494
Franklin Banking & PSU Debt Dir,3,500
Tata Liquid Dir,4,502
Axis Liquid Dir,4,502
Kotak Liquid Dir,2,506
ICICI Pru Liquid Dir,4,507
UTI Liquid Cash Dir,3,514
Invesco India Ultra Short Term Dir,3,517
L&T Ultra Short Term Dir,3,520
Franklin Liquid Dir,5,524
Invesco India Banking & PSU Debt Dir,2,525
HDFC Liquid Dir,3,525
Canara Robeco Savings Dir,3,526
Edelweiss Banking and PSU Debt Dir,3,527
Sundaram Banking & PSU Debt Dir,3,527
Nippon India Prime Debt Dir,3,528
SBI Liquid Dir,3,529
LIC MF Liquid Dir,4,532
Baroda Short Term Bond Dir,3,534
Mahindra Manulife Low Duration Fund Dir,5,534
ICICI Pru Credit Risk Dir,5,539
Invesco India Short Term Dir,3,540
Canara Robeco Short Duration Dir,3,542
DSP Liquidity Dir,3,543
IDFC Cash Dir,2,545
Invesco India Liquid Dir,2,549
Franklin Corporate Debt Dir,3,554
Mahindra Manulife Liquid Dir,4,558
HSBC Cash Dir,3,558
Sundaram Money Dir,3,567
L&T Liquid Dir,3,567
IDBI Liquid Dir,5,569
PGIM India Insta Cash Dir,4,569
IDFC Banking & PSU Debt Dir,4,569
L&T Triple Ace Bond Dir,3,571
Franklin Savings Dir,5,576
PGIM India Ultra ST Dir,5,577
HDFC Corporate Bond Dir,4,580
Axis Dynamic Bond Dir,4,583
Sundaram Corporate Bond Dir,3,583
Invesco India Money Market Dir,2,586
BNP Paribas Low Duration Dir,3,587
Mirae Asset Cash Management Dir,3,588
SBI Magnum Medium Duration Dir,5,592
SBI Corporate Bond Dir,3,595
Edelweiss Liquid Dir,5,597
Baroda Liquid Dir,3,597
Canara Robeco Ultra ST Dir,3,598
ICICI Pru Bond Dir,4,599
PGIM India Banking & PSU Debt Dir,3,608
BOI AXA Ultra Short Duration Dir,3,610
JM Liquid Dir,3,611
L&T Money Market Dir,5,617
DSP Savings Dir,3,617
Kotak Dynamic Bond Dir,5,618
Invesco India Corporate Bond Dir,2,622
IDFC Money Manager Dir,2,630
DSP Ultra Short Dir,3,630
ICICI Pru Debt Management (FOF) Dir,4,631
BNP Paribas Liquid Dir,4,633
Mirae Asset Savings Dir,3,640
Canara Robeco Corporate Bond Dir,3,641
HDFC Credit Risk Debt Dir,4,658
PGIM India Premier Bond Dir,2,663
Axis Strategic Bond Dir,3,664
UTI Corporate Bond Dir,4,664
HDFC Ultra Short Term Dir,4,664
IDFC Ultra Short Term Dir,4,667
DSP Corporate Bond Dir,4,669
IDFC Bond Medium Term Dir,4,670
SBI Credit Risk Dir,4,671
Quant Liquid Dir,5,671
HDFC Medium Term Debt Dir,4,675
BNP Paribas Short term Dir,3,678
IIFL Dynamic Bond Dir,3,681
HDFC Overnight Dir,1,684
Canara Robeco Liquid Dir,2,686
SBI Magnum Ultra Short Duration Dir,4,694
IDFC Credit Risk Dir,5,695
ABSL Income Dir,3,698
BOI AXA Liquid Dir,3,698
Quant Money Market Dir,3,701
ICICI Pru Medium Term Bond Dir,4,705
Axis Ultra Short Term Dir,4,707
Tata Short-term Bond Dir,3,710
Kotak Credit Risk Dir,4,712
Indiabulls Ultra Short Term Dir,4,714
LIC MF Savings Dir,3,720
Indiabulls Liquid Dir,3,722
ICICI Pru All Seasons Bond Dir,4,729
SBI Savings Dir,4,737
IIFL Liquid Dir,1,741
Indiabulls Short Term Dir,3,743
IDFC All Seasons Bond Dir,4,743
SBI Overnight Dir,2,745
SBI Magnum Income Dir,5,747
L&T Overnight Dir,3,751
Union Corporate Bond Dir,2,752
ABSL Active Debt Multi Manager FoF Dir,3,756
ICICI Pru Overnight Dir,3,756
L&T Low Duration Dir,3,758
ABSL Overnight Dir,3,759
UTI Overnight Dir,4,761
Mirae Asset Short Term Dir,4,761
ICICI Pru Banking & PSU Debt Dir,1,766
Quantum Liquid Dir,2,767
Kotak Overnight Dir,2,774
LIC MF Short Term Debt Dir,3,776
Axis Credit Risk Dir,4,778
Indiabulls Income Dir,4,779
Nippon India Overnight Dir,4,780
Essel Ultra Short Term Dir,3,781
Kotak Medium Term Dir,3,783
Tata Treasury Advantage Dir,3,788
Essel Liquid Dir,2,791
SBI Magnum Gilt Dir,4,792
IDFC GSF Investment Dir,5,795
IDFC Overnight Dir,3,797
DSP Overnight Dir,5,806
ICICI Pru Gilt Dir,3,823
DSP Govt Securities Dir,5,825
UTI Ultra Short Term Dir,2,825
Edelweiss Govt Securities Dir,4,843
Mirae Asset Dynamic Bond Dir,5,847
Tata Income Dir,3,849
Tata Dynamic Bond Dir,2,852
ICICI Pru Retrmnt Pure Debt Dir,5,852
Nippon India Dynamic Bond Dir,3,853
JM Dynamic Debt Dir,2,854
SBI Dynamic Bond Dir,4,855
Parag Parikh Liquid Dir,1,856
Baroda Ultra Short Duration Dir,3,858
DSP Strategic Bond Dir,3,862
L&T Resurgent India Bond Dir,3,864
IDFC Dynamic Bond Dir,4,865
JM Money Market Dir,1,865
Motilal Oswal Liquid Dir,1,867
ABSL Credit Risk Dir,3,871
HDFC Gilt Dir,2,872
Tata Ultra Short Term Dir,3,872
Canara Robeco Income Dir,4,875
Nippon India Gilt Securities Inst Dir,5,876
Kotak Gilt Inv PF & Trust Direct,3,877
Edelweiss Dynamic Bond Dir,5,877
Kotak Gilt Investment Dir,3,882
Kotak Bond Dir,3,883
Sundaram Medium Term Bond Dir,3,883
UTI Treasury Advantage Dir,2,886
ABSL Govt Securities Dir,4,895
IDBI Ultra Short Term Dir,3,897
BNP Paribas Corporate Bond Dir,2,901
UTI Banking & PSU Debt Dir,1,901
Principal Ultra Short Term Dir,2,910
Axis Gilt Dir,4,916
LIC MF GSF Dir,4,917
DSP Bond Dir,2,920
UTI Short-term Income Dir,2,920
PGIM India Gilt Dir,3,923
Sundaram Low Duration Dir,2,925
Union Liquid Dir,3,928
Mahindra Manulife Credit Risk Fund Dir,4,929
PGIM India Dynamic Bond Dir,4,930
Sundaram Money Market Dir,2,934
UTI Gilt Dir,3,935
L&T Gilt Dir,3,937
Nippon India Income Dir,4,944
DSP Credit Risk Dir,3,945
Invesco India Credit Risk Dir,3,951
ABSL Medium Term Dir,2,954
LIC MF Bond Dir,3,957
Tata Money Market Dir,4,957
Nippon India Ultra Short Duration Dir,2,960
Indiabulls Savings Dir,1,960
Union Dynamic Bond Dir,3,963
YES Liquid Dir,2,965
Sundaram Short Term Debt Dir,1,967
HSBC Low Duration Dir,2,967
L&T Flexi Bond Dir,4,970
Indiabulls Dynamic Bond Dir,3,971
Principal Short Term Debt Dir,2,974
JM Income Dir,2,978
HSBC Short Duration Dir,2,979
JM Low Duration Dir,2,983
Quantum Dynamic Bond Dir,3,983
IDFC Bond Income Dir,3,995
Taurus Liquid Dir,1,996
PGIM India Short Maturity Dir,2,1004
Canara Robeco Gilt Dir,2,1023
BNP Paribas Flexi Debt Dir,3,1024
L&T Credit Risk Dir,3,1024
Tata Medium Term Dir,1,1029
Principal Low Duration Dir,2,1032
IDBI Short Term Bond Dir,2,1034
ABSL Dynamic Bond Dir,2,1044
HDFC Income Dir,2,1046
JM Ultra Short Duration Dir,1,1055
Canara Robeco Dynamic Bond Dir,3,1065
Baroda Gilt Dir,2,1072
Tata GSF Dir,2,1074
HSBC Flexi Debt Dir,3,1076
HDFC Dynamic Debt Dir,2,1087
Baroda Credit Risk Dir,3,1090
Quant Dynamic Bond Dir,2,1091
Invesco India Gilt Dir,2,1095
Sundaram ST Credit Risk Dir,2,1095
HSBC Debt Dir,2,1102
Principal Cash Mgmt Dir,2,1103
Nippon India Credit Risk Dir,2,1103
UTI Medium Term Dir,2,1112
Franklin Govt Securities Dir,1,1114
PGIM India Credit Risk Dir,2,1114
IDBI Dynamic Bond Dir,2,1116
BNP Paribas Medium Term Dir,2,1129
BOI AXA ST Income Dir,1,1133
JM Short-term Dir,2,1147
Edelweiss Corporate Bond Dir,1,1147
IDBI Gilt Dir,1,1159
UTI Dynamic Bond Dir,1,1181
UTI Bond Dir,1,1188
IDBI Credit Risk Dir,2,1197
Baroda Treasury Advantage Dir,1,1199
PGIM India Low Duration Dir,2,1203
Nippon India Strategic Debt Dir,1,1222
BOI AXA Credit Risk Dir,1,1227
UTI Credit Risk Dir,1,1236
Motilal Oswal Ultra Short Term Dir,1,1241
Edelweiss Low Duration Dir,2,1241
Baroda Dynamic Bond Dir,2,1258
